run_id,hypothesis_id,backend,observable,site,bond,time,value,circuit_hash
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,z_expectation,0,,0.0,1,308c1badb33412d134aef39846ad36b9e6d83e3bf37ac6709f5788e83a225180
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,z_expectation,1,,0.0,1,308c1badb33412d134aef39846ad36b9e6d83e3bf37ac6709f5788e83a225180
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,z_expectation,2,,0.0,-1,308c1badb33412d134aef39846ad36b9e6d83e3bf37ac6709f5788e83a225180
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,z_expectation,3,,0.0,-0.994140625,308c1badb33412d134aef39846ad36b9e6d83e3bf37ac6709f5788e83a225180
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,zz_correlator,,0,0.0,1,308c1badb33412d134aef39846ad36b9e6d83e3bf37ac6709f5788e83a225180
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,zz_correlator,,1,0.0,-1,308c1badb33412d134aef39846ad36b9e6d83e3bf37ac6709f5788e83a225180
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,zz_correlator,,2,0.0,0.994140625,308c1badb33412d134aef39846ad36b9e6d83e3bf37ac6709f5788e83a225180
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,z_expectation,0,,0.25,0.896484375,a2f448c510186f666ce960b6e12e7a8f9e19545fa4795e9c222eedd86a64ddab
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,z_expectation,1,,0.25,0.875,a2f448c510186f666ce960b6e12e7a8f9e19545fa4795e9c222eedd86a64ddab
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,z_expectation,2,,0.25,-0.865234375,a2f448c510186f666ce960b6e12e7a8f9e19545fa4795e9c222eedd86a64ddab
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,z_expectation,3,,0.25,-0.880859375,a2f448c510186f666ce960b6e12e7a8f9e19545fa4795e9c222eedd86a64ddab
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,zz_correlator,,0,0.25,0.787109375,a2f448c510186f666ce960b6e12e7a8f9e19545fa4795e9c222eedd86a64ddab
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,zz_correlator,,1,0.25,-0.787109375,a2f448c510186f666ce960b6e12e7a8f9e19545fa4795e9c222eedd86a64ddab
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,zz_correlator,,2,0.25,0.78125,a2f448c510186f666ce960b6e12e7a8f9e19545fa4795e9c222eedd86a64ddab
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,z_expectation,0,,0.5,0.748046875,98ab9ee6db82c1950f5bb173357065a067df1e23b25759989ccbb057d837e4dd
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,z_expectation,1,,0.5,0.66796875,98ab9ee6db82c1950f5bb173357065a067df1e23b25759989ccbb057d837e4dd
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,z_expectation,2,,0.5,-0.7109375,98ab9ee6db82c1950f5bb173357065a067df1e23b25759989ccbb057d837e4dd
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,z_expectation,3,,0.5,-0.65234375,98ab9ee6db82c1950f5bb173357065a067df1e23b25759989ccbb057d837e4dd
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,zz_correlator,,0,0.5,0.490234375,98ab9ee6db82c1950f5bb173357065a067df1e23b25759989ccbb057d837e4dd
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,zz_correlator,,1,0.5,-0.46484375,98ab9ee6db82c1950f5bb173357065a067df1e23b25759989ccbb057d837e4dd
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,zz_correlator,,2,0.5,0.47265625,98ab9ee6db82c1950f5bb173357065a067df1e23b25759989ccbb057d837e4dd
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,z_expectation,0,,1.0,0.205078125,efd4e09e02107af489bd5ad936ee5441da04c4f5a971b4e8d87fd6373f84a7e3
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,z_expectation,1,,1.0,0.1328125,efd4e09e02107af489bd5ad936ee5441da04c4f5a971b4e8d87fd6373f84a7e3
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,z_expectation,2,,1.0,-0.140625,efd4e09e02107af489bd5ad936ee5441da04c4f5a971b4e8d87fd6373f84a7e3
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,z_expectation,3,,1.0,-0.21484375,efd4e09e02107af489bd5ad936ee5441da04c4f5a971b4e8d87fd6373f84a7e3
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,zz_correlator,,0,1.0,0.033203125,efd4e09e02107af489bd5ad936ee5441da04c4f5a971b4e8d87fd6373f84a7e3
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,zz_correlator,,1,1.0,0.15234375,efd4e09e02107af489bd5ad936ee5441da04c4f5a971b4e8d87fd6373f84a7e3
20260524T213104Z,gaugegap-0001,shot_sampler:depolarizing,zz_correlator,,2,1.0,0.09375,efd4e09e02107af489bd5ad936ee5441da04c4f5a971b4e8d87fd6373f84a7e3
