run_id,hypothesis_id,observable,value,g_electric,g_magnetic,n_links,truncation
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.2898979485566352,1.0,0.1,2,1
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.036808289692727314,1.0,0.825,2,1
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.018850113785331857,1.0,1.55,2,1
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.012646927420444598,1.0,2.275,2,1
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.00951208378394064,1.0,3.0,2,1
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.35692168440930333,1.0,0.1,2,2
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.21841372031819062,1.0,0.825,2,2
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.1650242113756999,1.0,1.55,2,2
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.12746174740474636,1.0,2.275,2,2
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.10251022057773618,1.0,3.0,2,2
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.25579396712042124,1.0,0.1,3,1
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.003957578767756598,1.0,0.825,3,1
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.00104607592450634,1.0,1.55,3,1
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.0004731807388864695,1.0,2.275,3,1
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.00026846390255386154,1.0,3.0,3,1
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.32514186340158885,1.0,0.1,3,2
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.12606740617340462,1.0,0.825,3,2
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.06447065864894341,1.0,1.55,3,2
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.03523824903787087,1.0,2.275,3,2
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.021621145243306827,1.0,3.0,3,2
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.24763800163063038,1.0,0.1,4,1
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.00047020099522665504,1.0,0.825,4,1
20260609T184415Z,gaugegap-u1-0001,mass_gap,6.437767644484893e-05,1.0,1.55,4,1
20260609T184415Z,gaugegap-u1-0001,mass_gap,1.965128693015572e-05,1.0,2.275,4,1
20260609T184415Z,gaugegap-u1-0001,mass_gap,8.413537987195241e-06,1.0,3.0,4,1
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.31578750922665433,1.0,0.1,4,2
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.0836460321567194,1.0,0.825,4,2
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.02789936021499173,1.0,1.55,4,2
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.010656510439851274,1.0,2.275,4,2
20260609T184415Z,gaugegap-u1-0001,mass_gap,0.004994667985087631,1.0,3.0,4,2
